UTM_X,UTM_Y,Cota
420960,4578341,-40
421339,4578341,-40
421717,4578341,-40
422096,4578341,-40
422475,4578341,-40
422854,4578341,-40
423232,4578341,-40
423611,4578341,-40
423990,4578341,-40
424368,4578341,-40
424747,4578341,-40
425126,4578341,-40
426262,4578341,-40
426640,4578341,-40
427019,4578341,-40
428155,4578341,-40
428534,4578341,-40
419067,4578627,-40
419445,4578627,-40
419824,4578627,-40
420203,4578627,-40
420581,4578627,-40
420960,4578627,-40
421339,4578627,-40
421717,4578627,-40
422096,4578627,-40
422475,4578627,-40
422854,4578627,-40
423232,4578627,-40
423611,4578627,-40
423990,4578627,-40
424368,4578627,-40
424747,4578627,-40
425126,4578627,-40
425504,4578627,-40
426262,4578627,-40
426640,4578627,-40
427019,4578627,-40
428155,4578627,-40
428534,4578627,-40
418688,4578914,-40
419067,4578914,-40
419445,4578914,-40
419824,4578914,-40
420203,4578914,-40
420581,4578914,-40
420960,4578914,-40
421339,4578914,-40
421717,4578914,-40
423232,4578914,-40
423611,4578914,-40
423990,4578914,-40
424368,4578914,-40
424747,4578914,-40
425126,4578914,-40
425504,4578914,-40
425883,4578914,-40
426262,4578914,-40
426640,4578914,-40
427019,4578914,-40
427398,4578914,-40
427777,4578914,-40
428155,4578914,-40
430049,4578914,-40
418309,4579200,-40
418688,4579200,-40
419067,4579200,-40
419445,4579200,-40
419824,4579200,-40
420203,4579200,-40
420581,4579200,-40
420960,4579200,-40
421339,4579200,-40
421717,4579200,-40
422854,4579200,-40
423232,4579200,-40
423611,4579200,-40
423990,4579200,-40
424368,4579200,-40
424747,4579200,-40
425126,4579200,-40
425504,4579200,-40
425883,4579200,-40
426262,4579200,-40
426640,4579200,-40
427019,4579200,-40
427398,4579200,-40
427777,4579200,-40
430049,4579200,-40
430427,4579200,-40
418309,4579486,-40
418688,4579486,-40
419067,4579486,-40
419445,4579486,-40
419824,4579486,-40
420203,4579486,-40
420581,4579486,-40
420960,4579486,-40
421339,4579486,-40
423232,4579486,-40
423611,4579486,-40
423990,4579486,-40
424747,4579486,-40
425126,4579486,-40
425504,4579486,-40
425883,4579486,-40
426262,4579486,-40
426640,4579486,-40
427019,4579486,-40
427398,4579486,-40
427777,4579486,-40
430427,4579486,-40
418309,4579773,-40
418688,4579773,-40
419067,4579773,-40
419445,4579773,-40
419824,4579773,-40
420203,4579773,-40
420581,4579773,-40
420960,4579773,-40
421339,4579773,-40
421717,4579773,-40
425126,4579773,-40
425504,4579773,-40
425883,4579773,-40
426262,4579773,-40
426640,4579773,-40
427019,4579773,-40
427398,4579773,-40
427777,4579773,-40
430427,4579773,-40
430806,4579773,-40
417931,4580059,-40
418309,4580059,-40
418688,4580059,-40
419067,4580059,-40
419445,4580059,-40
419824,4580059,-40
420203,4580059,-40
420581,4580059,-40
420960,4580059,-40
421339,4580059,-40
425504,4580059,-40
425883,4580059,-40
426262,4580059,-40
426640,4580059,-40
427019,4580059,-40
430806,4580059,-40
417931,4580345,-40
418309,4580345,-40
418688,4580345,-40
419067,4580345,-40
419445,4580345,-40
419824,4580345,-40
420203,4580345,-40
420581,4580345,-40
420960,4580345,-40
425883,4580345,-40
426262,4580345,-40
426640,4580345,-40
427019,4580345,-40
417931,4580632,-40
418309,4580632,-40
418688,4580632,-40
419067,4580632,-40
419445,4580632,-40
419824,4580632,-40
420203,4580632,-40
420581,4580632,-40
420960,4580632,-40
426262,4580632,-40
426640,4580632,-40
417931,4580918,-40
418309,4580918,-40
418688,4580918,-40
419067,4580918,-40
419445,4580918,-40
419824,4580918,-40
420203,4580918,-40
420581,4580918,-40
420960,4580918,-40
417931,4581204,-40
418309,4581204,-40
418688,4581204,-40
419067,4581204,-40
419445,4581204,-40
419824,4581204,-40
420203,4581204,-40
420581,4581204,-40
420960,4581204,-40
417552,4581491,-40
417931,4581491,-40
418309,4581491,-40
418688,4581491,-40
419067,4581491,-40
419445,4581491,-40
419824,4581491,-40
417552,4581777,-40
417931,4581777,-40
418309,4581777,-40
418688,4581777,-40
419067,4581777,-40
419445,4581777,-40
419824,4581777,-40
417931,4582063,-40
418309,4582063,-40
418688,4582063,-40
419067,4582063,-40
419445,4582063,-40
419824,4582063,-40
418688,4582350,-40
419067,4582350,-40
419445,4582350,-40
413765,4569465,-45
414144,4569465,-45
414144,4569751,-45
414522,4569751,-45
414144,4570037,-45
414522,4570037,-45
414901,4570037,-45
415280,4570037,-45
414522,4570324,-45
414901,4570324,-45
415280,4570324,-45
414901,4570610,-45
415280,4570610,-45
414901,4570896,-45
415280,4570896,-45
415658,4570896,-45
415280,4571183,-45
415658,4571183,-45
416037,4571183,-45
415658,4571469,-45
416037,4571469,-45
416416,4571469,-45
415658,4571755,-45
416037,4571755,-45
416416,4571755,-45
416037,4572042,-45
416416,4572042,-45
416794,4572042,-45
416037,4572328,-45
416416,4572328,-45
416794,4572328,-45
417173,4572328,-45
417552,4572328,-45
417931,4572328,-45
416416,4572614,-45
416794,4572614,-45
417173,4572614,-45
417552,4572614,-45
416794,4572901,-45
417173,4572901,-45
417552,4572901,-45
416794,4573187,-45
417173,4573187,-45
417552,4573187,-45
417173,4573473,-45
417173,4573760,-45
418688,4574332,-45
418688,4574619,-45
419067,4574619,-45
419445,4574619,-45
419067,4574905,-45
419445,4574905,-45
419824,4574905,-45
420203,4574905,-45
419445,4575191,-45
419824,4575191,-45
420203,4575191,-45
419824,4575478,-45
420203,4575478,-45
419824,4575764,-45
420203,4575764,-45
420203,4576050,-45
420581,4576050,-45
420960,4576050,-45
420203,4576337,-45
420581,4576337,-45
420960,4576337,-45
420203,4576623,-45
420581,4576623,-45
420960,4576623,-45
420203,4576909,-45
420581,4576909,-45
420960,4576909,-45
422475,4576909,-45
420203,4577196,-45
420581,4577196,-45
422096,4577196,-45
422475,4577196,-45
422854,4577196,-45
424747,4577196,-45
420203,4577482,-45
420581,4577482,-45
420960,4577482,-45
421717,4577482,-45
422096,4577482,-45
422475,4577482,-45
422854,4577482,-45
423232,4577482,-45
423611,4577482,-45
423990,4577482,-45
424368,4577482,-45
424747,4577482,-45
425126,4577482,-45
425504,4577482,-45
425883,4577482,-45
419824,4577768,-45
420203,4577768,-45
420581,4577768,-45
420960,4577768,-45
421339,4577768,-45
421717,4577768,-45
422096,4577768,-45
422475,4577768,-45
422854,4577768,-45
423232,4577768,-45
423611,4577768,-45
423990,4577768,-45
424368,4577768,-45
424747,4577768,-45
425126,4577768,-45
425504,4577768,-45
425883,4577768,-45
426262,4577768,-45
419445,4578055,-45
419824,4578055,-45
420203,4578055,-45
420581,4578055,-45
420960,4578055,-45
421339,4578055,-45
421717,4578055,-45
422096,4578055,-45
422475,4578055,-45
422854,4578055,-45
423232,4578055,-45
423611,4578055,-45
423990,4578055,-45
424368,4578055,-45
424747,4578055,-45
425126,4578055,-45
425504,4578055,-45
425883,4578055,-45
426262,4578055,-45
426640,4578055,-45
419445,4578341,-45
419824,4578341,-45
420203,4578341,-45
420581,4578341,-45
420960,4578341,-45
421339,4578341,-45
421717,4578341,-45
422096,4578341,-45
422475,4578341,-45
422854,4578341,-45
423232,4578341,-45
423611,4578341,-45
423990,4578341,-45
424368,4578341,-45
424747,4578341,-45
425126,4578341,-45
425504,4578341,-45
425883,4578341,-45
426262,4578341,-45
426640,4578341,-45
427019,4578341,-45
428155,4578341,-45
428534,4578341,-45
419067,4578627,-45
419445,4578627,-45
419824,4578627,-45
420203,4578627,-45
420581,4578627,-45
420960,4578627,-45
421339,4578627,-45
421717,4578627,-45
422096,4578627,-45
422475,4578627,-45
422854,4578627,-45
423232,4578627,-45
423611,4578627,-45
423990,4578627,-45
424368,4578627,-45
424747,4578627,-45
425126,4578627,-45
425504,4578627,-45
425883,4578627,-45
426262,4578627,-45
426640,4578627,-45
427019,4578627,-45
428155,4578627,-45
428534,4578627,-45
418688,4578914,-45
419067,4578914,-45
419445,4578914,-45
419824,4578914,-45
420203,4578914,-45
420581,4578914,-45
420960,4578914,-45
421339,4578914,-45
421717,4578914,-45
422096,4578914,-45
422475,4578914,-45
422854,4578914,-45
423232,4578914,-45
423611,4578914,-45
423990,4578914,-45
424368,4578914,-45
424747,4578914,-45
425126,4578914,-45
425504,4578914,-45
425883,4578914,-45
426262,4578914,-45
426640,4578914,-45
427019,4578914,-45
427398,4578914,-45
427777,4578914,-45
428155,4578914,-45
430049,4578914,-45
418309,4579200,-45
418688,4579200,-45
419067,4579200,-45
419445,4579200,-45
419824,4579200,-45
420203,4579200,-45
420581,4579200,-45
420960,4579200,-45
421339,4579200,-45
421717,4579200,-45
422854,4579200,-45
423232,4579200,-45
423611,4579200,-45
423990,4579200,-45
424368,4579200,-45
424747,4579200,-45
425126,4579200,-45
425504,4579200,-45
425883,4579200,-45
426262,4579200,-45
426640,4579200,-45
427019,4579200,-45
427398,4579200,-45
427777,4579200,-45
430049,4579200,-45
430427,4579200,-45
418309,4579486,-45
418688,4579486,-45
419067,4579486,-45
419445,4579486,-45
419824,4579486,-45
420203,4579486,-45
420581,4579486,-45
420960,4579486,-45
421339,4579486,-45
423232,4579486,-45
423611,4579486,-45
423990,4579486,-45
424747,4579486,-45
425126,4579486,-45
425504,4579486,-45
425883,4579486,-45
426262,4579486,-45
426640,4579486,-45
427019,4579486,-45
427398,4579486,-45
427777,4579486,-45
430427,4579486,-45
418309,4579773,-45
418688,4579773,-45
419067,4579773,-45
419445,4579773,-45
419824,4579773,-45
420203,4579773,-45
420581,4579773,-45
420960,4579773,-45
421339,4579773,-45
421717,4579773,-45
425126,4579773,-45
